city,district,Road_area_ratio
新北市,永和區,0.213491174
新北市,石門區,0.024138152
新北市,石碇區,0.012572656
新北市,汐止區,0.054658326
新北市,坪林區,0.010346981
新北市,板橋區,0.199745308
新北市,林口區,0.070017444
新北市,金山區,0.025174731
新北市,泰山區,0.074690173
新北市,烏來區,0.002165807
新北市,貢寮區,0.013667043
新北市,深坑區,0.036149295
新北市,新店區,0.04569484
新北市,新莊區,0.164019399
新北市,瑞芳區,0.021392455
新北市,萬里區,0.025491455
新北市,樹林區,0.099319135
新北市,雙溪區,0.009561361
新北市,蘆洲區,0.187115253
新北市,三峽區,0.019883451
新北市,淡水區,0.050855574
新北市,鶯歌區,0.089326923
新北市,八里區,0.044478713
新北市,三芝區,0.029439297
新北市,三重區,0.191640111
新北市,土城區,0.099056336
新北市,中和區,0.172370311
新北市,五股區,0.075903457
新北市,平溪區,0.014879229
臺北市,中正區,0.234339247
臺北市,內湖區,0.111397587
臺北市,文山區,0.094057441
臺北市,北投區,0.058298038
臺北市,松山區,0.219356404
臺北市,信義區,0.170547044
臺北市,南港區,0.093549948
臺北市,萬華區,0.197613212
臺北市,士林區,0.062639183
臺北市,大同區,0.22244041
臺北市,大安區,0.242220457
臺北市,中山區,0.205697555
