district,people_flow_mean
八里區,269.23438707432746
三芝區,74.61816421390597
三峽區,2038.200813195466
五股區,1316.1056896214957
平溪區,2.6053726751674002
石門區,17.569065916290764
石碇區,7.777212978166259
汐止區,6702.558473164092
坪林區,6.322899028865463
林口區,2711.7435917938824
金山區,63.0453515555854
泰山區,917.654568025197
烏來區,6.149262951003791
貢寮區,18.32029875663039
深坑區,85.7056139328202
瑞芳區,210.44541808837263
萬里區,66.29330719835927
樹林區,4972.842329654701
雙溪區,9.51159822131613
鶯歌區,1210.4688571620409
永和區,7036.536525279407
萬華區,4589.894304579775
士林區,10865.615867917159
淡水區,5801.71096020851
蘆洲區,6100.202607749544
土城區,8855.698624785598
大同區,2195.8386257927473
信義區,6517.593886918677
南港區,1979.4443366253836
三重區,22379.441956094463
中山區,7143.304433433641
松山區,5710.842282044083
新店區,14205.962126516062
內湖區,11638.89267605247
文山區,10339.294142673152
新莊區,27388.597929701093
中和區,25298.72528078057
板橋區,46868.800456726225
中正區,3440.5117097705534
北投區,8964.771139572358
大安區,12983.248687503434
