city,district,neighborhood,median
台北市,松山區,中崙里,736
台北市,松山區,自強里,613
台北市,松山區,鵬程里,552
台北市,松山區,東榮里,724
台北市,松山區,介壽里,762
台北市,松山區,東勢里,641
台北市,松山區,東光里,596
台北市,松山區,中正里,842
台北市,松山區,復盛里,543
台北市,松山區,復勢里,662
台北市,松山區,美仁里,690
台北市,松山區,吉仁里,651
台北市,松山區,精忠里,769
台北市,松山區,東昌里,714
台北市,松山區,福成里,746
台北市,松山區,中華里,801
台北市,松山區,吉祥里,606
台北市,松山區,新東里,587
台北市,松山區,三民里,629
台北市,松山區,復建里,700
台北市,松山區,敦化里,694
台北市,松山區,安平里,530
台北市,松山區,富錦里,614
台北市,松山區,莊敬里,555
台北市,松山區,新益里,548
台北市,松山區,富泰里,658
台北市,松山區,龍田里,855
台北市,松山區,慈祐里,490
台北市,松山區,復源里,680
台北市,松山區,民福里,526
台北市,松山區,松基里,634
台北市,松山區,新聚里,579
台北市,松山區,民有里,679
台北市,大安區,建安里,705
台北市,大安區,通安里,571
台北市,大安區,民輝里,731
台北市,大安區,德安里,689
台北市,大安區,敦安里,805
台北市,大安區,光明里,924
台北市,大安區,永康里,778
台北市,大安區,福住里,837
台北市,大安區,仁愛里,858
台北市,大安區,義村里,573
台北市,大安區,臥龍里,760
台北市,大安區,通化里,563
台北市,大安區,龍生里,801
台北市,大安區,新龍里,759
台北市,大安區,住安里,586
台北市,大安區,錦泰里,866
台北市,大安區,建倫里,808
台北市,大安區,錦華里,902
台北市,大安區,光武里,651
台北市,大安區,仁慈里,825
台北市,大安區,黎孝里,545
台北市,大安區,民炤里,859
台北市,大安區,昌隆里,725
台北市,大安區,黎和里,627
台北市,大安區,龍雲里,663
台北市,大安區,芳和里,567
台北市,大安區,龍安里,834
台北市,大安區,義安里,766
台北市,大安區,虎嘯里,717
台北市,大安區,龍淵里,801
台北市,大安區,龍坡里,781
台北市,大安區,龍門里,897
台北市,大安區,敦煌里,792
台北市,大安區,群賢里,632
台北市,大安區,車層里,732
台北市,大安區,光信里,705
台北市,大安區,和安里,829
台北市,大安區,正聲里,681
台北市,大安區,誠安里,601
台北市,大安區,華聲里,665
台北市,大安區,臨江里,507
台北市,大安區,龍陣里,675
台北市,大安區,龍圖里,689
台北市,大安區,古莊里,692
台北市,大安區,錦安里,875
台北市,大安區,大學里,695
台北市,大安區,古風里,722
台北市,大安區,全安里,712
台北市,大安區,黎元里,511
台北市,大安區,法治里,575
台北市,大安區,龍泉里,718
台北市,大安區,群英里,596
台北市,大安區,學府里,562
台北市,中正區,南門里,676
台北市,中正區,龍興里,580
台北市,中正區,愛國里,683
台北市,中正區,龍光里,735
台北市,中正區,河堤里,602
台北市,中正區,龍福里,757
台北市,中正區,螢雪里,529
台北市,中正區,永昌里,451
台北市,中正區,文盛里,656
台北市,中正區,忠勤里,366
台北市,中正區,永功里,561
台北市,中正區,螢圃里,586
台北市,中正區,幸市里,786
台北市,中正區,文祥里,824
台北市,中正區,黎明里,650
台北市,中正區,建國里,819
台北市,中正區,光復里,639
台北市,中正區,東門里,773
台北市,中正區,板溪里,583
台北市,中正區,文北里,818
台北市,中正區,梅花里,672
台北市,中正區,廈安里,679
台北市,中正區,網溪里,633
台北市,中正區,林興里,675
台北市,中正區,幸福里,690
台北市,中正區,水源里,626
台北市,中正區,富水里,684
台北市,中正區,頂東里,623
台北市,中正區,新營里,896
台北市,中正區,南福里,864
台北市,中正區,三愛里,737
台北市,萬華區,柳鄉里,396
台北市,萬華區,雙園里,491
台北市,萬華區,糖廍里,488
台北市,萬華區,西門里,522
台北市,萬華區,仁德里,502
台北市,萬華區,新起里,534
台北市,萬華區,日善里,455
台北市,萬華區,菜園里,493
台北市,萬華區,頂碩里,450
台北市,萬華區,福音里,490
台北市,萬華區,華中里,428
台北市,萬華區,青山里,457
台北市,萬華區,新和里,495
台北市,萬華區,新安里,407
台北市,萬華區,富民里,460
台北市,萬華區,富福里,469
台北市,萬華區,綠堤里,378
台北市,萬華區,忠貞里,406
台北市,萬華區,日祥里,459
台北市,萬華區,忠德里,467
台北市,萬華區,孝德里,409
台北市,萬華區,保德里,440
台北市,萬華區,全德里,513
台北市,萬華區,興德里,420
台北市,萬華區,壽德里,484
台北市,萬華區,凌霄里,413
台北市,萬華區,和平里,422
台北市,萬華區,騰雲里,457
台北市,萬華區,榮德里,438
台北市,萬華區,福星里,449
台北市,萬華區,和德里,404
台北市,萬華區,萬壽里,489
台北市,萬華區,銘德里,447
台北市,萬華區,華江里,419
台北市,萬華區,錦德里,442
台北市,萬華區,新忠里,491
台北市,大同區,建泰里,562
台北市,大同區,建明里,499
台北市,大同區,雙連里,526
台北市,大同區,建功里,515
台北市,大同區,景星里,410
台北市,大同區,星明里,569
台北市,大同區,朝陽里,519
台北市,大同區,大有里,508
台北市,大同區,斯文里,447
