Id,routeId,nameZh,nameEn,seqNo,pgp,goBack,longitude,latitude,address,coordinate
191393,17789,新莊體育館,Xinzhuang Stadium,21,-1,1,121.452097,25.039359,新莊體育館(向南),"121.452097, 25.039359"
33945,10148,捷運府中站(府中路),MRT Fuzhong Station(Fuzhong Rd.),46,-1,0,121.458454,25.009036,府中路49號(向東),"121.458454, 25.009036"
33947,10148,萬坪公園,Wanping Park,47,,0,121.460871,25.013298,文化路一段51號對向(向北),"121.460871, 25.013298"
33948,10148,新北板橋公車站,NTPC Banqiao Bus Station,48,-1,1,121.46261,25.012769,縣民大道公車專用月台第三月台(向東),"121.46261, 25.012769"
181065,16518,新莊高中,Xinzhuang High School,8,,0,121.4447176,25.04788846,中平路135號(向南),"121.4447176, 25.04788846"
181066,16518,新莊高中,Xinzhuang High School,98,,1,121.4449156,25.04801,中平路188號(向北),"121.4449156, 25.04801"
202833,17845,新山淨水廠, Xinshan Water Purification Plant,34,0,0,121.72039,25.133175,基隆市安樂區麥金路741號(向南),"121.72039, 25.133175"
202834,17845,新山淨水廠, ,50,0,1,121.720332,25.132922,基隆市安樂區麥金路735號對面(向北),"121.720332, 25.132922"
193137,17845,藍天麗地社區,Lantian Lidi Community,59,,1,121.697096,25.154043,基金三路60號,"121.697096, 25.154043"
33982,10148,中山實小,Zhongshan Experimental Elementary School,55,-1,1,121.4462031,25.00205217,大觀路二段63號(向南),"121.4462031, 25.00205217"
33985,10148,沙崙里,Shalun Village,58,-1,1,121.4319,24.994928,板橋區篤行路一段18號旁(向南),"121.4319, 24.994928"
33986,10148,沙崙國小(大觀路),Shalun Elementary School,59,-1,1,121.430703,24.992579,沙崙國小(向南),"121.430703, 24.992579"
33987,10148,濟安宮(保安街),Jian Temple,60,-1,1,121.427081,24.993585,保安街一段(向西),"121.427081, 24.993585"
33989,10148,樹林後火車站,Shulin Train Station Rear,62,-1,1,121.423475,24.991726,中山路一段72號(向南),"121.423475, 24.991726"
33990,10148,育英街口,Yuying St. Intersection,63,-1,1,121.422148,24.989548,中山路一段143號(向南),"121.422148, 24.989548"
33991,10148,樹林仁愛醫院,Shulin Renai Hospital,64,-1,1,121.421124,24.98787288,中山路一段238號(向南),"121.421124, 24.98787288"
33992,10148,海明寺,Haiming Temple,65,-1,1,121.418267,24.98555342,中山路ㄧ段398號同向(向西),"121.418267, 24.98555342"
124953,16123,德光路口,DeGuang Rd. Entrance,8,,0,121.471153,25.004529,中和區德光路16號(向西南),"121.471153, 25.004529"
124954,16123,德光路口,DeGuang Rd. Entrance,57,,1,121.471385,25.004455,中和區德光路9號(向東北),"121.471385, 25.004455"
34369,10161,積穗(員山路),Jisui(Yuanshan Rd.),19,-1,0,121.479854,25.006676,員山路472號(向北),"121.479854, 25.006676"
34370,10161,松下電子,Matsushita Electronics Company,20,-1,0,121.47932,25.008669,員山路508號(向北),"121.47932, 25.008669"
34371,10161,自來水公司,Taiwan Water Company,21,,0,121.479068,25.0127,三民路二段239號前(向北),"121.479068, 25.0127"
34372,10161,長壽里,President Textile,22,,0,121.479287,25.015381,三民路二段133號(向北),"121.479287, 25.015381"
34511,10172,捷運西門站,MRT Ximen Station,24,0,0,121.5081874,25.04099809,中華路一段台北憲兵隊前(捷運西門站2號出口)(向北),"121.5081874, 25.04099809"
34512,10172,中華路北站,Zhonghua Rd. North Station,25,0,0,121.5093021,25.04495097,中華路一段(向北),"121.5093021, 25.04495097"
34514,10172,重慶南路一段,Chongqing S. Road Sec. 1,26,0,1,121.5131649,25.04469193,重慶南路一段30號同向(向南),"121.5131649, 25.04469193"
34515,10172,博物館(襄陽),Taiwan Museum(Xiangyang),27,0,1,121.5146668,25.04337336,襄陽路2號同向(向東),"121.5146668, 25.04337336"
34516,10172,捷運台大醫院站,MRT NTU Hospital Station,28,0,1,121.5161482,25.04193576,公園路與常德街交岔口西北側(向南),"121.5161482, 25.04193576"
34517,10172,一女中(公園),Taipei First Girls High School(Gongyuan),29,0,1,121.5149627,25.03800782,公園路21號對面(向南),"121.5149627, 25.03800782"
34518,10172,市立大學附小,Affliated Experimental Elementary School of University Taipei,30,0,1,121.5149763,25.0364626,公園路29號同向(向南),"121.5149763, 25.0364626"
34519,10172,南門,Nanmen,31,0,1,121.51548,25.03348,南昌路一段10巷北側公賣局前(向南),"121.51548, 25.03348"
34520,10172,南昌路(暫時裁撤),Nanchang Rd.,32,0,1,121.517135,25.031262,南昌路一段58至72號,"121.517135, 25.031262"
33993,10148,東昇公園,Dongsheng Park,66,-1,1,121.415139,24.983992,樹林區中山路二段80號(向南),"121.415139, 24.983992"
33994,10148,東昇福德宮,Dongsheng Fude Temple,67,-1,1,121.4119361,24.98311074,中山路二段158號同向(向南),"121.4119361, 24.98311074"
33995,10148,南樹林火車站,South Shulin Station,68,,1,121.40858,24.98013,中山路二段118之154號同向(向南),"121.40858, 24.98013"
33996,10148,東山,Dongshan,69,-1,1,121.406613,24.9792,中山路二段135號對向(向南),"121.406613, 24.9792"
33997,10148,山佳國小,Sanjia Elementary School,70,-1,1,121.402015,24.975931,中山路二段249巷2-1號對向(向南),"121.402015, 24.975931"
33999,10148,中洲街口,Zhongzhou St. Entrance,72,-1,1,121.396631,24.973384,樹林區中山路三段127-1號對向(向南),"121.396631, 24.973384"
