name,star,comment,class,address,latitude,longitude
果滋味綜合飲料店,4.9,17,冰品飲料店,新北市三峽區大德路39號1樓,24.9429943,121.3770984
可不可熟成紅茶-三峽北大店,3.9,191,冰品飲料店,新北市三峽區學成路229號,24.9425087,121.374965
茶聚CHAGE三峽和平店｜香片領導品牌＿新北手搖飲料店外帶外送加盟推薦│在地美食飲料茶飲創業加盟,4.7,354,冰品飲料店,新北市三峽區和平街107號,24.9382843,121.3703329
50嵐 三峽北大店,4.3,101,冰品飲料店,新北市三峽區大學路129號1樓,24.9436023,121.3745389
五桐號WooTEA 三峽北大店,3.7,62,冰品飲料店,新北市三峽區國學街39號,24.942509,121.3726773
CoCo都可 三峽北大店,4.1,192,冰品飲料店,新北市三峽區大學路143號,24.9437545,121.3741646
紅茶洋行-三峽復興店,4.5,28,冰品飲料店,新北市三峽區復興路36-8號,24.9367654,121.373994
珍煮丹 三峽北大店,3.9,221,冰品飲料店,新北市三峽區大學路145號,24.9439864,121.3741868
CoCo都可 三峽和平店,4,232,冰品飲料店,新北市三峽區和平街40號,24.9373577,121.37032
老賴茶棧三峽老街店,4.3,95,冰品飲料店,新北市三峽區民權街5號,24.9345784,121.3704512
無飲國學店,4.2,41,冰品飲料店,新北市三峽區國學街28號,24.9421522,121.3731927
清心福全三峽大學店（來電外送26731238免外送費）,4.8,144,冰品飲料店,新北市三峽區國際一街36號,24.9426896,121.3734502
來壺果飲,4.6,87,冰品飲料店,新北市三峽區大德路153號,24.9451932,121.37561
清心福全三峽文化店-珍珠奶茶手搖飲料專賣店,3.6,58,冰品飲料店,新北市三峽區文化路16號,24.9358682,121.3733162
泡泡龍,3.9,102,冰品飲料店,新北市三峽區民生街171號,24.934743,121.3723595
胖茶 茶飲專賣店 /三峽飲料推薦/三峽特色飲料/三峽必喝/鮮萃黑茶/黑奶茶/仙草凍拿鐵,4.4,43,冰品飲料店,新北市三峽區光明路94號,24.928534,121.3756757
鮮茶道(三峽文化店),3.6,141,冰品飲料店,新北市三峽區文化路41號,24.9360559,121.3724651
拾?茶屋 三峽中華店,4.9,239,冰品飲料店,新北市三峽區中華路37號,24.9311286,121.3728445
清水冬瓜王 三峽店,4.4,567,冰品飲料店,新北市三峽區長福街15號,24.9338713,121.3705682
有料搖搖茶yoyocha-新北三峽店,4.4,27,珍珠奶茶,新北市三峽區大同路45號1樓,24.9277724,121.3760445
奶霸Milk Bar-鍋煮奶茶創始店 三峽飲料 三峽飲料推薦 三峽手搖飲 三峽咖啡 三峽下午茶,5,24,冰品飲料店,新北市三峽區光明路96號,24.9282042,121.3757325
咕茶,4.9,121,冰品飲料店,新北市三峽區光明路100之1號,24.9281741,121.3760056
清心福全三峽大義店,3.5,107,珍珠奶茶,新北市三峽區大義路11號,24.9437014,121.3788895
太元茶室 Est.2021,4.7,119,冰品飲料店,新北市三峽區國學街8號,24.9415506,121.3736498
三峽冰鎮,4,218,冰品飲料店,新北市三峽區民生街108號,24.93532,121.373318
統一茗茶-顏選製茶所(YANXUAN)|碧螺春綠茶|蜜香紅茶|白茶冠軍|東方美人|烏龍茶|金萱|四季春|老茶|茶糖|牛軋糖|雪花餅|茶酥|茶梅|苦茶油|三峽伴手禮|茶葉禮盒|批發零售|,4.9,43,茶葉店,新北市三峽區竹崙路23號,24.922695,121.4292553
Mai cha嘜ㄔㄚ、飲品專賣店,5,159,冰品飲料店,新北市三峽區介壽路一段6號黃昏市場鍾予原味旁,24.9334478,121.3745244
好了啦紅茶冰-三峽大同,3,1,冰品飲料店,新北市三峽區大同路69號,24.9272751,121.375194
50嵐 三峽光明店,4.8,116,冰品飲料店,新北市三峽區光明路100-3號,24.9281327,121.3760502
COMEBUY_三峽光明店,4.2,52,冰品飲料店,新北市三峽區光明路17號,24.9313579,121.37325
自己來 紅茶鮮乳 三峽愛國店,3.6,19,冰品飲料店,新北市三峽區愛國路32-10號,24.932998,121.3748773
樹林青草茶,4.7,12,冰品飲料店,新北市三峽區民族街,24.9316832,121.3686455
森木坊古早冰,4.7,169,冰品飲料店,新北市三峽區秀川街88號,24.9334467,121.370201
得正#三峽文化計劃,5,7,冰品飲料店,新北市三峽區文化路60號,24.9362408,121.3724963
市民小站三峽愛國店,4.3,41,冰品飲料店,新北市三峽區愛國路32-8號,24.9330274,121.3745909
可不可熟成紅茶-三峽文化店,4,39,冰品飲料店,新北市三峽區文化路5號,24.9355342,121.3732848
涼水庫愛國店,5,1,冰品飲料店,新北市三峽區愛國路2號,24.933996,121.3741324
好了啦-三峽愛國店,5,1,冰品飲料店,新北市三峽區愛國路24號對面號,24.9333949,121.3742639
50嵐 三峽文化店,3.9,491,冰品飲料店,新北市三峽區文化路26號,24.9360019,121.3732319
愛茶咖 i - Cha Ca Coffee & Tea,4.9,7,冰品飲料店,新北市三峽區民權街117號,24.932275,121.369141
龜記茗品-三峽文化店,4.5,146,冰品飲料店,新北市三峽區文化路7號,24.9354679,121.373238
好了啦-紅茶冰,4,5,冰品飲料店,新北市三峽區正義街61號號,24.918473,121.3692115
好了啦！三峽和平店,3,2,冰品飲料店,新北市三峽區和平街60號,24.9378497,121.3704018
三峽青草茶,0,0,冰品飲料店,新北市三峽區民生街178號門口附近,24.935002,121.37129
