name,class,address,latitude,longitude
郵政醫院(委託中英醫療社團法人經營),醫院,台北市中正區福州街14號,25.0286031,121.5188322
國立臺灣大學醫學院附設醫院,大學附設醫院,台北市中正區中山南路7號,25.0409785,121.5191987
台大兒童醫院,兒童醫院,台北市中正區中山南路8號,25.0443271,121.518583
泰安醫院,醫院,台北市中山區民權東路二段92巷2-1號,25.0614683,121.5315551
協和婦女醫院/附設產後護理中心/月子中心,婦產科醫生,台北市中山區松江路85巷5號,25.0502613,121.5339092
馬偕紀念醫院,綜合醫院,台北市中山區中山北路二段92號,25.0588457,121.5223977
臺灣基督長老教會馬偕醫療財團法人 淡水馬偕紀念醫院,醫院,新北市淡水區民生路45號,25.1389184,121.4619207
長庚醫療財團法人台北長庚紀念醫院,醫院,台北市松山區敦化北路199號,25.0555049,121.5496029
基督復臨安息日會醫療財團法人臺安醫院,綜合醫院,台北市松山區八德路二段424號,25.0479157,121.5474078
博仁綜合醫院,綜合醫院,台北市松山區光復北路66號,25.0499097,121.5576835
培靈醫院,保健,台北市松山區八德路四段355號,25.0494027,121.5681918
三軍總醫院松山分院,軍醫院,台北市松山區健康路131號,25.0543293,121.5576613
中山醫院,綜合醫院,台北市大安區仁愛路四段112巷11號,25.0365493,121.5499069
國立臺灣大學醫學院附設醫院癌醫中心分院,大學附設醫院,台北市大安區基隆路三段155巷57號,25.014649,121.5442042
宏恩綜合醫院,綜合醫院,台北市大安區仁愛路四段61號,25.0382016,121.5466815
中心綜合診所 - 腫瘤熱治療中心,醫生,台北市大安區忠孝東路四段77號1206 室,25.0418484,121.547396
國泰綜合醫院,綜合醫院,台北市大安區仁愛路四段280號,25.0368857,121.5537445
萬華醫院,醫院,台北市萬華區中華路二段606巷6號,25.024061,121.5097152
仁濟醫院,醫院,台北市萬華區廣州街243號,25.0368881,121.4980399
西園醫療社團法人西園醫院,綜合醫院,台北市萬華區西園路二段270號,25.0277299,121.4943799
國立台灣大學醫學院附設醫院北護分院附設護理之家,療養院,台北市萬華區內江街87號,25.0417582,121.5035772
臺北醫學大學附設醫院,大學附設醫院,台北市信義區吳興街252號,25.0272445,121.5631515
新光醫療財團法人新光吳火獅紀念醫院,綜合醫院,台北市士林區文昌路95號,25.0964041,121.5201549
國防醫學院三軍總醫院北投分院附設民眾診療服務處,醫療診所,台北市北投區中和街250號,25.139725,121.5011997
北投健康管理醫院,醫院,台北市北投區中和街2號,25.137558,121.503699
和信治癌中心醫院,癌症治療中心,台北市北投區立德路125號,25.1282108,121.4720368
振興醫療財團法人振興醫院,綜合醫院,台北市北投區振興街45號,25.1160245,121.5228648
臺北市立關渡醫院-委託臺北榮民總醫院經營,醫院,台北市北投區知行路225巷12號,25.1204797,121.4661881
臺北榮民總醫院,榮民醫院,台北市北投區石牌路二段201號,25.1197546,121.5201492
中國醫藥大學附設醫院臺北分院,大學附設醫院,台北市內湖區內湖路二段360號,25.0820989,121.5907252
康寧醫療財團法人康寧醫院,醫院,台北市內湖區成功路五段420巷26號,25.0758327,121.6088852
三軍總醫院附設民眾診療服務處,醫療中心,台北市內湖區成功路二段325號,25.0728868,121.5910904
臺北市立萬芳醫院,綜合醫院,台北市文山區興隆路三段111號,24.999925,121.5581444
景美醫院,醫院,台北市文山區羅斯福路六段280號,24.9912488,121.539897
國立台灣大學醫學院附設醫院金山分院,大學附設醫院,新北市金山區玉爐路7號,25.2195534,121.628399
亞東紀念醫院,綜合醫院,新北市板橋區南雅南路二段21號,24.9971306,121.4529059
板橋中興醫院,醫院,新北市板橋區忠孝路15號,25.001983,121.4602391
板橋國泰醫院,綜合醫院,新北市板橋區忠孝路5號,25.0019307,121.4599294
板新醫院,醫院,新北市板橋區中正路189號,25.0168624,121.4563991
板英醫院-板橋腦中風復健|兒童早期療育|兒童心理治療|兒童語言治療|家醫科|PRP增生療法,醫院,新北市板橋區文化路一段269號,25.0183857,121.4645661
中英醫院,醫院,新北市板橋區文化路一段196號,25.019861,121.466276
蕭中正醫院,私家醫院,新北市板橋區南雅南路一段15之1號,25.0068789,121.4564446
汐止國泰綜合醫院,綜合醫院,新北市汐止區建成路59巷2號,25.0726989,121.6611849
瑞芳礦工醫院,醫院,新北市瑞芳區一坑路71-2號,25.1086014,121.8021627
宏慈療養院,精神病醫院,新北市新店區安泰路157號,24.9387969,121.488261
新北仁康醫院,醫院,新北市新店區安康路二段323號,24.9555591,121.4997383
同仁醫院,私家醫院,新北市新店區民權路89號,24.9827778,121.5377778
怡濟慈園醫療社團法人宏濟神經精神科醫院,精神病醫院,新北市新店區安忠路57巷5號,24.9585097,121.5145561
耕莘醫院安康院區,綜合醫院,新北市新店區車子路15號,24.9538514,121.5038018
天主教永和耕莘醫院,綜合醫院,新北市永和區中興街80號,25.0118154,121.5178975
永和復康醫院,醫院,新北市永和區中和路575號,25.0038581,121.51187
衛生福利部雙和醫院,醫院,新北市中和區中正路291號,24.9926232,121.4935872
祥顥醫院(新莊院區),醫院,新北市新莊區思源路2號,25.0386662,121.4610026
怡和醫院,醫院,新北市中和區連城路49號,25.00189,121.498525
蕙生醫院|中和婦產科|中和婦產科女醫生|中永和小兒科|女醫師產檢|24小時接生,婦產科醫生,新北市中和區中山路二段551號,25.0054498,121.4809662
中祥醫院,醫院,新北市中和區中山路二段140號,25.0032187,121.5020578
廣川醫院,綜合醫院,新北市土城區裕民路276號,24.982216,121.454888
恩樺醫院,醫院,新北市土城區中央路一段7-18號,24.9911791,121.448797
仁安醫院,歷史建築,台北市大同區延平北路二段237號,25.0605927,121.5115484
新北市立土城醫院,醫院,新北市土城區金城路二段6號,24.9761498,121.4487246
元復醫院附設護理之家,護理服務代理,新北市土城區慶樂街25號,24.9726135,121.4391238
永聖醫療社團法人文化醫院,醫院,新北市三峽區介壽路一段199號,24.9308088,121.3782934
清福醫院(洗腎中心),醫院,新北市三峽區介壽路一段286號E棟2樓,24.9301291,121.3802727
行天宮醫療志業醫療財團法人恩主公醫院附設居家護理,療養院,新北市三峽區復興路399號,24.9383074,121.362904
名恩療養院,醫療診所,新北市鶯歌區鶯桃路二段62號,24.9732732,121.3249379
新北市立聯合醫院 板橋院區,政府醫院,新北市板橋區英士路198號,25.023547,121.4576521
三重中興醫院,醫院,新北市三重區中興北街21號,25.0466533,121.4697289
呼吸照護病房 - 益民醫院,私家醫院,新北市新莊區中港路127號,25.0400788,121.4551347
新莊英仁醫院/新莊醫院/新莊呼吸照護病房,醫院,新北市新莊區大觀街46之2號46之2號,25.0358695,121.4538179
新泰綜合醫院,綜合醫院,新北市新莊區新樹路176號,25.0215592,121.4341373
財團法人台灣省私立新莊仁濟醫院,醫院,新北市新莊區中環路一段28號,25.027061,121.4428275
新仁醫院,醫院,新北市新莊區中正路395號,25.0345289,121.4454518
衛生福利部臺北醫院,政府醫院,新北市新莊區思源路127號,25.0427682,121.4591471
天主教輔仁大學附設醫院,大學附設醫院,新北市泰山區貴子路69號,25.0401745,121.4314868
衛生福利部八里療養院,政府醫院,新北市八里區華富山路33號,25.1449291,121.4125059
臺灣基督長老教會馬偕醫療財團法人 淡水馬偕紀念醫院,醫院,新北市淡水區民生路45號,25.1389184,121.4619207
北新醫療社團法人北新醫院,專科診所,新北市淡水區演戲埔腳1-2號,25.1936863,121.4754733
泓安醫院,醫院,新北市淡水區下圭柔山91號巷2號,25.210801,121.437825
基督復臨安息日會醫療財團法人臺安醫院,綜合醫院,台北市松山區八德路二段424號,25.0479157,121.5474078
豐榮醫院,醫院,新北市新店區安德街26巷3號,24.9632662,121.5113452
