name,class,address,latitude,longitude
台北信義威秀影城,戲院,台北市信義區松壽路20號,25.0356037,121.567275
台北松仁威秀影城 MUVIE CINEMAS,戲院,台北市信義區松仁路58號10 樓,25.0368737,121.5679503
誠品電影院,戲院,台北市信義區菸廠路80號B1,25.0444169,121.5612547
喜樂時代影城 南港店,戲院,台北市南港區忠孝東路七段299號11樓CITYLINK購物商場C棟,25.0525582,121.604518
臺北京站威秀影城,戲院,台北市大同區市民大道一段209號5樓,25.0490313,121.5185494
新民生戲院,戲院,台北市松山區民生東路五段190號3樓,25.0586482,121.5642624
總督數位影城,戲院,台北市松山區長安東路二段219號,25.0483256,121.5447943
微風影城,戲院,台北市松山區復興南路一段39號8F,25.0461572,121.5448303
哈拉影城,戲院,台北市內湖區康寧路三段72號,25.0699677,121.6113089
國賓大戲院,戲院,台北市萬華區成都路88號,25.0429258,121.5045986
樂聲影城 LUX CINEMA,戲院,台北市萬華區武昌街二段85號,25.0454605,121.5048283
台北in89豪華影城,戲院,台北市萬華區武昌街二段89號,25.0455201,121.504026
台北獅子林新光影城,戲院,台北市萬華區西寧南路36號4樓,25.0452938,121.5063929
今日秀泰影城,戲院,台北市萬華區峨眉街52號,25.0436369,121.5054224
真善美劇院,戲院,台北市萬華區漢中街116號,25.0429229,121.5073242
梅花數位影院,戲院,台北市大安區和平東路三段63號2樓,25.0247281,121.5491067
百老匯影城,戲院,台北市文山區羅斯福路四段200號5樓,25.0108212,121.536788
東南亞秀泰影城,戲院,台北市中正區羅斯福路四段136巷3號,25.0127659,121.5353404
光點華山電影館,戲院,台北市中正區八德路一段1號,25.0451887,121.5291591
台北長春國賓影城,戲院,台北市中山區長春路176號,25.0545575,121.534256
欣欣秀泰影城,戲院,台北市中山區林森北路247號,25.0542433,121.5257746
光點台北(台北之家),戲院,台北市中山區中山北路二段18號,25.053279,121.5221609
美麗華大直影城,戲院,台北市中山區敬業三路22號6樓,25.0832173,121.5575147
美麗新大直皇家影城,戲院,台北市中山區北安路780號 1號樓及B2,25.0849899,121.5537244
台北天母新光影城,戲院,台北市士林區忠誠路二段202號,25.1172939,121.5339723
湳山戲院,戲院,台北市大安區通化街24巷1號,25.0316041,121.553799
佳佳來來戲院,戲院,台北市文山區羅斯福路六段403號4樓,24.9918417,121.5406537
中和環球威秀影城,戲院,"f, No. 122號中山路三段中和區新北市235",25.0066724,121.4747789
喜樂時代影城 永和店,戲院,新北市永和區中山路一段238號4F,25.008209,121.5076921
鴻金寶麻吉影城,戲院,新北市新莊區民安路188巷5號4 F,25.023057,121.424795
新莊晶冠國賓影城,戲院,新北市新莊區五工路66號3F、4F,25.0639823,121.4589459
美麗新宏匯影城,戲院,新北市新莊區新北大道四段3號8樓,25.0596589,121.4491863
國家電影及視聽文化中心,文化中心,新北市新莊區文藝路2號,25.056062,121.4470978
天台影城,戲院,新北市三重區重新路二段78號4F,25.0617557,121.4973409
林口昕境國賓影城,戲院,新北市林口區文化三路一段402巷2號四樓,25.073748,121.368837
林口MITSUI OUTLET PARK威秀影城,戲院,新北市林口區文化三路一段356號3樓,25.0705089,121.3661653
美麗新淡海影城,戲院,新北市淡水區義山路二段303號2樓,25.1990292,121.4386419
淡水禮萊國賓影城,戲院,新北市淡水區中正路一段2號1樓,25.1765173,121.4294771
板橋大遠百威秀影城,戲院,新北市板橋區新站路28號10樓,25.0140729,121.4671574
板橋秀泰影城,戲院,新北市板橋區縣民大道二段3號,25.0123547,121.4619601
府中15,戲院,新北市板橋區府中路15號,25.0093789,121.4596218
樹林秀泰影城,戲院,新北市樹林區樹新路40-6號8樓,24.9954547,121.4284421
土城秀泰影城,戲院,新北市土城區學府路二段210號,24.9787201,121.4451146
新店裕隆城威秀影城,戲院,新北市新店區中興路三段70號7樓,24.978061,121.546478
林園電影城,戲院,新北市板橋區館前西路158號,25.008677,121.454873
