name,class,address,latitude,longitude
饒河街觀光夜市,夜市,台北市松山區饒河街,25.0508854,121.5774891
雙城街夜市,夜市,台北市中山區雙城街,25.0644857,121.524335
臨江街觀光夜市,夜市,台北市大安區臨江街,25.0301412,121.5542672
遼寧街夜市,夜市,台北市中山區遼寧街,25.0488683,121.5421769
廣州街觀光夜市,夜市,台北市萬華區廣州街,25.036731,121.4976133
寧夏夜市,夜市,台北市大同區寧夏路58號2樓,25.056676,121.515363
臺北華西街夜市,夜市,台北市萬華區華西街,25.0385988,121.4984426
景美夜市,夜市,台北市文山區景美街,24.9906733,121.5417191
師大夜市,夜市,台北市大安區師大路39巷,25.0245419,121.529366
南機場夜市,夜市,台北市中正區中華路二段307巷,25.0291811,121.5059244
社子夜市,夜市,台北市士林區社中街2-32號,25.0877728,121.5094366
林口街夜市,夜市,台北市信義區林口街40-44號,25.0378954,121.5793422
延三夜市,夜市,台北市大同區延平北路三段,25.0633642,121.5111796
石牌商城,夜市,台北市北投區裕民一路30號,25.116731,121.5163978
台北公館夜市,夜市,台北市大安區羅斯福路四段90巷,25.0137873,121.5347865
大龍街夜市,夜市,台北市大同區大龍街296-298號號,25.0714662,121.5159014
寧夏夜市,夜市,台北市大同區寧夏路58號2樓,25.056676,121.515363
士林夜市,夜市,台北市士林區基河路101號,25.0879869,121.5242024
737巷美食街,夜市,台北市內湖區內湖路一段737巷,25.079738,121.5786619
樂華夜市,夜市,新北市永和區永平路,25.0084156,121.5117271
板橋湳雅夜市,夜市,新北市板橋區南雅東路87號,25.0057165,121.4554698
板橋裕民夜市,夜市,新北市板橋區裕民街,25.0283255,121.4607927
三和夜市,夜市,新北市三重區中央北路,25.0635655,121.5011253
興南夜市,夜市,新北市中和區信義街,24.9899688,121.5107306
樹林興仁花園夜市,夜市,新北市樹林區保安街二段70號,25.0031642,121.4154278
樹林夜市,夜市,新北市樹林區博愛街9號,24.9908145,121.4259883
新莊廟街夜市,夜市,新北市新莊區新莊路,25.0336951,121.4509529
西盛夜市,夜市,新北市新莊區西盛街,25.0167946,121.4280368
蘆洲廟口夜市,夜市,新北市蘆洲區成功路92號,25.0832198,121.4716867
淡水英專夜市,夜市,新北市淡水區英專路,25.1690096,121.4453441
沙崙夜市,夜市,新北市淡水區沙崙路201巷26號,25.1853274,121.4241094
淡水英專夜市,夜市,新北市淡水區英專路,25.1690096,121.4453441
三芝夜市,夜市,新北市三芝區淡金路二段93號,25.2613539,121.5048296
新北市鶯歌區南雅夜市,夜市,新北市鶯歌區南雅路29號,24.9545787,121.3502055
林口夜市,夜市,新北市林口區佳林路101巷,25.0793777,121.3873684
八里渡船頭老街,旅遊景點,新北市八里區渡船頭街,25.1584429,121.4347089
五股地瓜球 星期三夜市,夜市,新北市五股區西雲路155-163號,25.0943157,121.4459863
五股御史路夜市,夜市,新北市五股區御史路,25.0899605,121.4423913
金山小夜市,夜市,新北市金山區,25.225599,121.632684
金山小夜市,夜市,新北市金山區,25.225599,121.632684
深坑廟前夜市,旅遊景點,新北市深坑區,25.0050332,121.6235857
五股工業區夜市,夜市,新北市新莊區,25.0662686,121.4598406
汐止弘道街夜市,夜市,新北市汐止區弘道街10號,25.0486052,121.6169032
七堵夜市,夜市,基隆市七堵區,25.0972853,121.7145186
