name,city,dist,address,latitude,longitude
農村公園,板橋區,江翠里,吳鳳路50巷46號與雙十路3段交叉口,25.030237,121.471097
石雕公園,板橋區,江翠里,吳鳳路50巷(農村公園旁),25.029705,121.469765
八德公園,板橋區,忠翠里,雙十路二段與萬板路交叉口,25.025339,121.476989
四維公園,板橋區,陽明里,陽明街166號(新埔國小旁),25.025637,121.463641
玫瑰公園,板橋區,德翠里,綠堤街(市立聯合醫院板橋院區旁),25.025005,121.454759
國光公園,板橋區,中正里,中正路375巷48號(國光國小旁),25.020728,121.452756
資訊公園,板橋區,柏翠里,文化路與長江路口(華江橋頭),25.034674,121.476277
中山公園,板橋區,華江里,莊敬路179號,25.023086,121.471563
華江公園,板橋區,莊敬里,民生路二段與縣民大道交叉口,25.01931,121.471456
莊敬公園,板橋區,莊敬里,民生路二段120號(公園大鎮對面),25.019972,121.470802
環河公園,板橋區,香雅里,南雅西路二段301巷41弄(國光國小後面),25.017328,121.450906
華中公園,板橋區,浮洲里,僑中一街124巷底(四汴頭抽水站旁),25.01929,121.446655
永安公園,板橋區,永安里,雙十路一段25號,25.024356,121.477575
永豐公園,板橋區,雙玉里,永豐街124號,25.021024,121.476971
民生公園,板橋區,東丘里,民生路一段30號(板橋憲兵隊旁),25.013546,121.475976
介壽公園,板橋區,深丘里,館前東路、公園街、實踐路三角地帶(板橋地政事務所對面),25.00845,121.462714
和平公園,板橋區,廣德里,重慶路355號,24.998067,121.464484
忠孝公園,板橋區,仁愛里,國慶路149巷21弄16號,24.997207,121.460045
仁愛公園,板橋區,仁愛里,國慶路51號(忠孝公園旁),24.996371,121.460007
華德公園,板橋區,華德里,四川路二段245巷125號(信義國小對面),24.992597,121.453275
南雅公園,板橋區,華興里,南雅南路2段1之1號（光華商職對面）,25.004043,121.454768
廣福公園,板橋區,廣福里,廣權路五權公園旁(干誠路底),24.991446,121.462699
五權公園,板橋區,五權里,廣權路130號,24.992843,121.46525
重慶公園,板橋區,重慶里,重慶路擎天雙星旁,25.000192,121.463593
信義公園,板橋區,信義里,信義路150巷43-1號,24.991942,121.457472
