name,class,address,latitude,longitude,"latitude, longitude"
國立政治大學,公立大學,台北市文山區指南路二段64號,24.9878632,121.5774304,"24.9878632, 121.5774304"
國立臺灣大學,大學,台北市大安區羅斯福路四段1號,25.0173405,121.5397518,"25.0173405, 121.5397518"
國立臺灣師範大學,公立大學,台北市大安區和平東路一段162號,25.0260878,121.5275484,"25.0260878, 121.5275484"
國立臺北大學,公立大學,新北市三峽區大學路151號,24.9440905,121.3709602,"24.9440905, 121.3709602"
國立臺灣科技大學,科技大學,台北市大安區基隆路四段43號,25.0132583,121.5405609,"25.0132583, 121.5405609"
國立臺北科技大學,科技大學,台北市大安區忠孝東路三段1號,25.0438884,121.534399,"25.0438884, 121.534399"
國立臺北藝術大學,公立大學,台北市北投區學園路1號,25.1325182,121.4696818,"25.1325182, 121.4696818"
國立臺灣藝術大學,公立大學,新北市板橋區大觀路一段59號,25.0060395,121.4488186,"25.0060395, 121.4488186"
國立臺北教育大學,公立大學,台北市大安區和平東路二段134號,25.0246244,121.5446374,"25.0246244, 121.5446374"
國立臺北護理健康大學校本部,公立大學,台北市北投區明德路365號,25.1175793,121.5214817,"25.1175793, 121.5214817"
國立臺北商業大學,公立大學,台北市中正區濟南路一段321號,25.0418915,121.525618,"25.0418915, 121.525618"
國立臺灣戲曲學院內湖校區,大專院校,台北市內湖區內湖路二段177號,25.0819234,121.586525,"25.0819234, 121.586525"
天主教輔仁大學,大學,新北市新莊區中正路510號,25.0363219,121.4326549,"25.0363219, 121.4326549"
東吳大學,私立大學,台北市士林區臨溪路70號,25.0945636,121.5454248,"25.0945636, 121.5454248"
淡江大學臺北校區,私立大學,台北市大安區金華街199巷5號,25.0311111,121.5286111,"25.0311111, 121.5286111"
中國文化大學,私立大學,台北市士林區華岡路55號,25.1365356,121.5392733,"25.1365356, 121.5392733"
華梵大學,私立大學,新北市石碇區華梵路1號,24.9808468,121.6910371,"24.9808468, 121.6910371"
世新大學,私立大學,台北市文山區木柵路一段17巷1號,24.988664,121.543984,"24.988664, 121.543984"
銘傳大學臺北校區,大學,台北市士林區中山北路五段250號,25.0861411,121.5279461,"25.0861411, 121.5279461"
實踐大學,私立大學,台北市中山區大直街70號,25.0830759,121.5452175,"25.0830759, 121.5452175"
真理大學,私立大學,新北市淡水區真理街32號,25.1767715,121.434879,"25.1767715, 121.434879"
大同大學,私立大學,台北市中山區中山北路三段40號,25.0671976,121.5217972,"25.0671976, 121.5217972"
臺北醫學大學,私立大學,台北市信義區吳興街250號,25.0253125,121.5613608,"25.0253125, 121.5613608"
明志科技大學 Ming Chi University of Technology,科技大學,新北市泰山區工專路84號,25.0409853,121.4223007,"25.0409853, 121.4223007"
聖約翰科技大學,科技大學,新北市淡水區淡金路四段499號,25.2270222,121.4497613,"25.2270222, 121.4497613"
中國科技大學,大學,台北市文山區興隆路三段56號,24.9986236,121.5547464,"24.9986236, 121.5547464"
景文科技大學,科技大學,新北市新店區安忠路99號,24.951591,121.5099708,"24.951591, 121.5099708"
