name,star,comment,class,address,latitude,longitude
新樹國民運動中心-運動易利站EasyGym,4.9,88,健身室,新北市新莊區新樹路222號7樓,25.0204643,121.4335093
新北市板橋國民運動中心,4.3,3,綜合運動中心,新北市板橋區智樂路6號,25.022699,121.4577278
運動操場,4.1,33,健身室,新北市板橋區,25.0004676,121.4774292
新北市新莊國民運動中心,4.3,3,健身室,新北市新莊區公園路11號,25.0396395,121.4477684
新北市三重國民運動中心,4,1,健身室,新北市三重區集美街55號,25.0546254,121.4878983
新北市新店國民運動中心,4,897,綜合運動中心,新北市新店區北新路一段88巷12號,24.9671774,121.5424722
新北市樹林國民運動中心,4.2,2,綜合運動中心,新北市樹林區中正路188-6號,25.0041909,121.423351
新北市五股國民運動中心,4.6,864,綜合運動中心,新北市五股區成泰路三段296號,25.0950459,121.4484258
新北市永和國民運動中心,4.3,4,綜合運動中心,新北市永和區永利路250號,25.0031513,121.5241966
新北市運動廣場,4.3,110,公園,新北市板橋區漢生東路278號,25.010573,121.4692052
板樹體育館,4.1,1,體育館,新北市板橋區溪城路90號,24.9812082,121.427659
新北聯新運醫中心,5,1,綜合運動中心,新北市板橋區中正路189號,25.0168376,121.4564086
新北市體育總會,4.3,3,協會或機構,新北市板橋區漢生東路278號,25.010554,121.469072
新北市蘆洲國民運動中心,4.3,2,綜合運動中心,新北市蘆洲區長樂路235-1號,25.0911212,121.4620618
Waypoint FITNESS,5,167,健身室,新北市新莊區新北大道四段1號2樓,25.0598045,121.4502956
新北市政府體育局,2.6,10,地方政府機構,新北市板橋區漢生東路278號,25.0105539,121.4690719
新北市土城國民運動中心,4.3,3,綜合運動中心,新北市土城區金城路二段247-1號,24.9855894,121.4572112
Waypoint FITNESS 中和館,4.5,49,健身室,新北市中和區中山路二段64巷9號2樓,25.0048925,121.5031762
新北市泰山國民運動中心,4.3,2,綜合運動中心,新北市泰山區全興路167號,25.0559747,121.4345916
新北市板橋第二運動場,4.2,2,體育館,新北市板橋區民權路117號,25.0137359,121.4582533
新北市汐止國民運動中心,4.4,2,綜合運動中心,新北市汐止區汐科路321號,25.0652677,121.6571068
悍酷HANKU / 板橋店,4.6,53,健身室,新北市板橋區合安一路47號F棟,24.9999026,121.447333
新北市板橋體育場,4.3,3,綜合運動中心,新北市板橋區公館街,25.0133202,121.4582875
動趣健身俱樂部-泰山體育館,4.2,214,健身俱樂部,新北市泰山區公園路54號,25.055715,121.4265874
新北市鶯歌國民運動中心,4,616,綜合運動中心,新北市鶯歌區館前路250號,24.9512886,121.35772
板橋運動中心 合氣道館,5,6,合氣道學校,新北市板橋區智樂路6號,25.022699,121.4577278
World Gym世界健身俱樂部 新北板橋重慶店Sport,4.9,1,健身室,新北市板橋區重慶路247號B1,25.0004507,121.4636022
新北市淡水國民運動中心,4.3,2,綜合運動中心,新北市淡水區中山北路二段381巷2號,25.1873766,121.4425921
FunGym X 來去運動 | 健身房 | 空中瑜珈 | 拳擊有氧 | 企業包班 | 場租,4.5,27,健身室,新北市三重區光復路一段76號4樓,25.0500109,121.4718791
舞動陽光-泰山體育館,4,675,體育館,新北市泰山區公園路54號,25.055715,121.4265874
舞動陽光運動中心重慶館,4,313,綜合運動中心,新北市板橋區和平路103號,24.994954,121.462277
體殼運動防護 - (全預約制工作室),5,88,運動按摩治療師,新北市中和區圓通路367巷10號1樓,24.9889954,121.4914699
(Not Open-整修中)新北市中和國民運動中心,4.2,3,綜合運動中心,新北市中和區錦和路和城路一段350之2號入口：,24.9925927,121.4870792
中和運動中心攀岩館,4,22,健身室,新北市中和區錦和路350-2號,24.9929072,121.487098
板橋體育館,4.1,836,籃球場,新北市板橋區中正路8號,25.0133194,121.4568661
World Gym世界健身俱樂部 新北北新莊店Sport,4.5,1,健身室,新北市新莊區幸福路778號B1,25.0494318,121.4471942
小一號運動空間,4.9,147,健身室,新北市新店區北新路三段122號,24.9819309,121.5417206
舞動陽光-秀山國小,4,150,健身室,新北市中和區立人街2號,24.9960653,121.5205633
NiceSports好的運動-帕菲克運動基地,4.9,323,主場,新北市中和區錦和路388號2樓,24.990773,121.4903762
X-Fbody 24 運動教室〡亞洲旗艦店,4.4,140,健身俱樂部,新北市板橋區合安一路49號,24.999299,121.4474526
Oneway 啟動模式,4.8,526,健身俱樂部,新北市板橋區中正路69號B1,25.013952,121.4562552
走吧運動 新莊二館,4.8,371,健身室,新北市新莊區中正路347巷10號B1,25.0345002,121.4469868
比活力Beverly運動俱樂部 城市館,4.4,215,健身俱樂部,新北市蘆洲區中山一路8號6樓,25.0805082,121.480369
World Gym世界健身俱樂部 新北板橋雙十店,4.7,2,健身室,新北市板橋區雙十路二段143號B1,25.0279702,121.4748239
World Gym世界健身俱樂部 新北三重店,4.5,1,健身室,新北市三重區重新路二段78號,25.0617709,121.4974781
TMMA台北格鬥運動館 雙和館,5,625,泰拳拳擊館,新北市中和區中和路356號11樓,25.0015562,121.5103321
Hooah運動 板橋江翠店,5,114,健身俱樂部,新北市板橋區松柏街83號,25.0308172,121.4766442
WE CAN FITNESS 健身房,5,65,健身俱樂部,新北市板橋區220後埔街81號,25.0052473,121.4607976
主動皮拉提斯教室,5,4,普拉提中心,"樓, No. 3號明德街2巷6弄板橋區新北市220",25.0101898,121.4602755
新莊體育館,4.5,554,體育館,新北市新莊區中華路一段75號,25.0404627,121.4518373
新北市休閒運動協會,0,0,俱樂部,新北市中和區圓通路162巷7號,24.995044,121.496842
NGU Muay Thai Fitness 新店館 (泰拳運動館),4.9,56,泰拳拳擊館,新北市新店區民權路46號5樓,24.9830694,121.5401637
臺北市南港運動中心 Taipei Nangang Sports Center,4,2,健身室,台北市南港區玉成街69號,25.0487933,121.581875
W.T運動空間,4.8,99,健身室,新北市永和區中正路608號5樓,25.0072004,121.5172097
