brand,name,star,comment,class,address,latitude,longitude
COCO,CoCo都可 南四店,4.0,184,冰品飲料店,台北市松山區南京東路四段133巷4弄2號,25.0523357,121.555043
COCO,CoCo都可 合宜店,3.5,67,冰品飲料店,新北市板橋區合宜路81號1樓,24.9977744,121.4473831
COCO,CoCo都可 亞東店,4.3,127,冰品飲料店,新北市板橋區四川路二段47巷2-1號,24.9950823,121.4539569
COCO,CoCo都可 三芝店,4.4,464,冰品飲料店,新北市三芝區中正路一段53號,25.2580262,121.5033625
COCO,Coco都可中和建一店,5.0,164,冰品飲料店,新北市中和區建一路157號,24.9992619,121.4883202
COCO,CoCo都可 自立店,3.8,256,冰品飲料店,新北市中和區自立路24號,24.9931955,121.5223744
COCO,CoCo都可 內湖店,3.8,156,冰品飲料店,台北市內湖區內湖路一段285巷29號,25.0835223,121.5669879
COCO,CoCo都可 南昌店,3.7,284,冰品飲料店,台北市中正區寧波西街83-2號,25.0302637,121.5165912
COCO,CoCo都可 遠雄汐止店,4.4,453,珍珠奶茶,新北市汐止區新台五路一段99號,25.0624689,121.6500815
COCO,CoCo都可 樹林保安店,4.1,171,珍珠奶茶,新北市樹林區保安街一段73號,24.995012,121.4228013
COCO,CoCo都可 新店北新店,4.5,780,冰品飲料店,新北市新店區北新路一段209號,24.9652159,121.540266
COCO,CoCo都可 忠順店,4.6,583,冰品飲料店,台北市文山區興隆路四段68號,24.984748,121.5614273
COCO,CoCo都可 (松山壹號),3.1,22,冰品飲料店,台北市信義區11號 Citylink商場一樓松山,25.0494488,121.5789137
COCO,CoCo都可 永和中正店,3.8,172,冰品飲料店,新北市永和區中正路184號,24.9968977,121.5154481
COCO,CoCo都可 三民店,4.2,148,冰品飲料店,新北市三重區三民街89號,25.063173,121.4855933
COCO,CoCo都可 土城廣福店,3.8,298,冰品飲料店,新北市土城區學府路一段146號,24.9871727,121.4549296
COCO,CoCo都可 台北民生店,4.1,181,冰品飲料店,台北市大同區民生西路159號,25.0573897,121.5176077
COCO,CoCo都可 南京五店,4.1,238,冰品飲料店,台北市松山區南京東路五段66巷15號,25.0506381,121.5608704
COCO,CoCo都可 景文店,4.3,413,冰品飲料店,台北市文山區景文街95號,24.9909743,121.5413486
COCO,CoCo都可 三峽北大店,4.1,192,冰品飲料店,新北市三峽區大學路143號,24.9437545,121.3741646
COCO,CoCo都可 台北建國店,4.4,369,冰品飲料店,台北市大安區建國南路二段17號,25.0327087,121.5381435
COCO,CoCo都可 康寧店,4.2,128,冰品飲料店,台北市內湖區康寧路三段165巷6號,25.0707191,121.6116478
COCO,CoCo都可 萬華寶興店,3.9,155,珍珠奶茶,台北市萬華區寶興街70號,25.0263413,121.4941005
COCO,CoCo都可 土城立德店,4.1,196,珍珠奶茶,新北市土城區立德路40號,24.9873428,121.46357
COCO,CoCo都可 新店寶橋店,4.3,248,珍珠奶茶,新北市新店區寶橋路25號,24.9742051,121.5439525
COCO,coco都可明志2店,0.0,0,冰品飲料店,新北市泰山區明志路三段88號,25.041448,121.4248943
COCO,CoCo都可 華齡店,4.0,191,冰品飲料店,台北市士林區華齡街16號,25.0830366,121.5195641
COCO,CoCo都可 南華店,4.1,335,冰品飲料店,新北市中和區南山路167號,24.9952731,121.5028889
COCO,CoCo都可 板橋重慶店,4.0,218,冰品飲料店,新北市板橋區重慶路179號,25.0024608,121.4627732
COCO,CoCo都可(關渡店),4.0,173,冰品飲料店,台北市北投區知行路301號,25.1220973,121.4671994
COCO,CoCo都可龍江2店,3.7,153,冰品飲料店,台北市中山區龍江路350號,25.0657739,121.5408219
COCO,CoCo都可 深坑店,4.0,253,冰品飲料店,新北市深坑區埔新街92號,25.0023804,121.6190507
COCO,CoCo都可 吳興店,4.0,257,冰品飲料店,台北市信義區吳興街229號,25.0276672,121.5633137
COCO,CoCo都可 大南店,4.5,287,冰品飲料店,台北市士林區大南路309號,25.0888204,121.5183858
COCO,CoCo都可 南港同德店,4.2,179,冰品飲料店,台北市南港區同德路25號,25.0452936,121.5839565
COCO,CoCo都可 興隆店,4.3,543,冰品飲料店,台北市文山區興隆路三段54-2號,25.000017,121.5557301
COCO,CoCo都可 永和仁愛店,3.7,236,珍珠奶茶,新北市永和區仁愛路101號1樓,25.0130296,121.512465
COCO,CoCo都可~永和文化,3.7,40,冰品飲料店,新北市永和區文化路80號,25.0153147,121.5141447
COCO,CoCo都可 板橋漢東店,4.1,328,珍珠奶茶,新北市板橋區漢生東路303號,25.0082737,121.4717679
COCO,CoCo都可 尊賢店,4.1,224,冰品飲料店,台北市北投區尊賢街253號,25.1181247,121.5066212
COCO,coco都可茶飲（內湖金龍）,4.8,108,無酒精飲料店,台北市內湖區金龍路56號一樓,25.0848207,121.5932313
COCO,CoCo都可 板橋莊敬店,4.4,261,珍珠奶茶,新北市板橋區莊敬路100號,25.024399,121.471128
COCO,CoCo都可(台北南京店),4.5,13,冰品飲料店,台北市松山區南京東路三段285號,25.0520908,121.5456188
COCO,CoCo都可 汐止忠孝店,4.1,261,冰品飲料店,新北市汐止區忠孝東路235號,25.0673191,121.6626816
COCO,CoCo都可 德光店,4.2,242,冰品飲料店,新北市中和區德光路93號,25.0034848,121.4689887
COCO,CoCo都可 板橋金門店,4.1,291,珍珠奶茶,新北市板橋區金門街312號,24.98522,121.42872
COCO,CoCo都可 西門町店,4.1,624,冰品飲料店,台北市萬華區武昌街二段4號,25.044313,121.5084253
COCO,CoCo都可 新店民族店,4.2,391,冰品飲料店,新北市新店區民族路243號,24.9753788,121.5365676
