brand,name,star,comment,class,address,latitude,longitude
一沐日,一沐日 板橋三民店,3.6,569,冰品飲料店,新北市板橋區三民路二段19號,25.018249,121.479475
一沐日,一沐日 內湖江南店,3.8,568,冰品飲料店,台北市內湖區江南街75號,25.0770417,121.577309
一沐日,一沐日 新店民族店,4.3,368,冰品飲料店,新北市新店區民族路46號1樓,24.9788566,121.5403433
一沐日,一沐日 汐止建成店,3.7,317,冰品飲料店,新北市汐止區建成路52號,25.0729066,121.6637614
一沐日,一沐日 文山興隆店,3.7,443,冰品飲料店,台北市文山區興隆路三段45號,25.0004464,121.5559042
一沐日,一沐日 吉林南京店,3.9,221,冰品飲料店,台北市中山區南京東路二段56號,25.0518773,121.5298145
一沐日,一沐日 天母德行東店,4.2,208,冰品飲料店,台北市士林區德行東路21號,25.1068965,121.525891
一沐日,一沐日臨江通化店,3.7,720,冰品飲料店,台北市大安區通化街72號,25.0301591,121.5540741
一沐日,一沐日-三重三和店,3.8,71,冰品飲料店,新北市三重區三和路二段81號,25.068257,121.499969
一沐日,一沐日 新莊新泰店,4.0,155,冰品飲料店,新北市新莊區新泰路206號,25.0387362,121.4469843
