brand,name,star,comment,class,address,latitude,longitude
先喝道,先喝道101店,4.2,364,冰品飲料店,台北市信義區市府路45號B1,25.0337881,121.5641995
先喝道,先喝道北車京站店,4.2,514,冰品飲料店,"號 b2, No. 1承德路一段大同區台北市103",25.0493012,121.5171717
先喝道,先喝道誠品南西店,4.3,49,冰品飲料店,"B1, No. 14號南京西路中山區台北市104",25.0520942,121.5207243
先喝道,先喝道台北東區大安店,4.0,61,冰品飲料店,台北市大安區大安路一段53號,25.0429847,121.5463367
先喝道,先喝道台北誠品站前店,4.2,522,冰品飲料店,台北市中正區忠孝西路一段49號,25.0463846,121.5178642
先喝道,先喝道台北古亭店,4.2,96,冰品飲料店,台北市大安區和平東路一段27號,25.0272703,121.5231632
先喝道,先喝道樹林站前店,4.5,100,冰品飲料店,新北市樹林區鎮前街130號,24.9908293,121.4247366
先喝道,先喝道永和秀朗店,4.0,130,冰品飲料店,新北市永和區得和路293號,24.9997684,121.5228105
先喝道,先喝道中和連城店,4.8,32,冰品飲料店,新北市中和區連城路353號,24.9960482,121.4879015
先喝道,先喝道三重三和店,4.2,140,無酒精飲料店,新北市三重區三和路三段43號,25.0714041,121.4955786
先喝道,先喝道板橋中山店,4.0,155,冰品飲料店,新北市板橋區中山路二段136號,25.0169256,121.4764037
