brand,name,star,comment,class,address,latitude,longitude
春水堂,春水堂 南港店,3.9,801,中式茶館,台北市南港區經貿二路188號2樓（B棟,25.0592534,121.6151831
春水堂,春水堂 信義店,3.9,2,中式茶館,"B1, No. 9號松壽路信義區台北市110",25.0366485,121.5667595
春水堂,春水堂 天母店,3.7,565,中式茶館,台北市士林區忠誠路二段200號B棟 3F,25.1173977,121.5339334
春水堂,春水堂 站前店,4.0,1,中式茶館,台北市中正區忠孝西路一段66號號 b2,25.0463126,121.51516
春水堂,春水堂 林口店,3.9,1,中式茶館,"F, No. 356文化三路一段林口區新北市244",25.0703559,121.3662679
春水堂,春水堂 西湖店,3.9,1,中式茶館,台北市內湖區瑞光路585號,25.0802333,121.5676417
春水堂,春水堂 板橋大遠百店,3.5,252,中式茶館,新北市板橋區新站路28號3F,25.0140107,121.4668079
春水堂,春水堂 秀泰樹林店,3.8,419,中式茶館,新北市樹林區樹新路40-6號號 2F,24.9957518,121.4281847
春水堂,春水堂 光南店,3.9,1,中式茶館,台北市松山區南京東路四段182號,25.0513433,121.5573019
春水堂,春水堂 新板店,3.9,902,中式茶館,新北市板橋區縣民大道二段66號一樓,25.0121116,121.463180499999
