brand,name,star,comment,class,address,latitude,longitude
清心福全,清心福全長春二店,4.1,56,冰品飲料店,台北市中山區長春路120號,25.0547518,121.5303141
清心福全,清心福全金山南店-珍珠奶茶手搖飲料專賣店,4.1,29,無酒精飲料店,台北市中正區信義路一段9-1號石園新城大廈號,25.0331232,121.5273794
清心福全,清心福全南港經貿店 珍珠奶茶手搖飲料專賣店,3.1,102,無酒精飲料店,台北市南港區南港路一段154號一樓,25.0554553,121.6122101
清心福全,清心福全信義松仁店,4.0,218,冰品飲料店,台北市信義區松仁路198號,25.0274166,121.5682613
清心福全,清心福全北投石牌店－珍珠奶茶手搖飲料專賣店,3.9,141,冰品飲料店,台北市北投區石牌路二段99巷57號,25.118424,121.516777
清心福全,清心福全樹林柑園店-珍珠奶茶手搖飲料專賣店,3.9,63,冰品飲料店,新北市樹林區柑園街一段371號,24.9558213,121.3886362
清心福全,清心福全大同迪化店-珍珠奶茶手搖飲料專賣店,3.1,55,無酒精飲料店,台北市大同區南京西路233巷17號,25.0543079,121.510539
清心福全,清心福全土城學府店-珍珠奶茶手搖飲料專賣店,2.7,47,無酒精飲料店,新北市土城區學府路一段144巷2號,24.9873563,121.4550279
清心福全,清心福全信義世貿店-珍珠奶茶手搖飲料專賣店,3.9,165,無酒精飲料店,台北市信義區吳興街152號,25.0293305,121.5616994
清心福全,清心福全五分埔店-珍珠奶茶手搖飲料專賣店,3.6,157,無酒精飲料店,台北市信義區松山路158-1號,25.0464089,121.5775929
清心福全,清心福全 內湖碧湖店,3.9,85,無酒精飲料店,台北市內湖區內湖路二段369號,25.0837928,121.5923383
清心福全,清心福全台北開封店-珍珠奶茶手搖飲專賣店,3.7,76,珍珠奶茶,台北市中正區開封街一段64號,25.045903,121.51164
清心福全,清心福全新莊中港店-珍珠奶茶手搖飲料專賣店,3.5,206,珍珠奶茶,新北市新莊區中港路302號,25.04498,121.4527936
清心福全,清心福全圓通店-珍珠奶茶手搖飲料專賣店,2.7,119,冰品飲料店,新北市中和區圓通路256號,24.9910197,121.4933546
清心福全,清心福全鶯歌鶯桃店珍珠奶茶手搖飲料專賣店,3.4,65,冰品飲料店,新北市鶯歌區鶯桃路636號,24.9689996,121.3294975
清心福全,清心福全承德店珍,2.8,62,無酒精飲料店,台北市士林區承德路四段40巷125號,25.0817849,121.520418
清心福全,清心福全中和連城店-珍珠奶茶手搖飲料專賣店,3.5,75,冰品飲料店,新北市中和區連城路315之1號1 樓,24.996105,121.4894075
清心福全,清心福全汐止連興店-珍珠奶茶手搖飲料專賣店,2.7,82,無酒精飲料店,新北市汐止區連興街131號1樓,25.0618645,121.6540435
清心福全,清心福全世新店-珍珠奶茶手搖飲料專賣店,4.3,164,無酒精飲料店,台北市文山區木柵路一段165號,24.9877317,121.5506749
清心福全,清心福全士林文大店-珍珠奶茶手搖飲料專賣店,3.7,64,無酒精飲料店,台北市士林區光華路26巷4之2號,25.137478,121.5418989
清心福全,清心福全三重集美店-珍珠奶茶手搖飲料專賣店,3.8,89,珍珠奶茶,新北市三重區集美街136號,25.0532024,121.489421
清心福全,清心福全長江店-珍珠奶茶手搖飲料專賣店,3.9,145,冰品飲料店,新北市板橋區長江路二段8號1樓,25.0313315,121.4647249
清心福全,清心福全,2.4,117,冰品飲料店,新北市中和區德光路95號,25.0032914,121.4685527
清心福全,清心福全樹林鎮前店珍珠奶茶手搖飲料專賣店,3.8,93,飲料,新北市樹林區鎮前街62號,24.9923869,121.425493
清心福全,清心福全大同大龍店-珍珠奶茶手搖飲料專賣店,3.8,226,無酒精飲料店,台北市大同區大龍街267號1樓,25.0717145,121.5159337
清心福全,清心福全新店北新店-珍珠奶茶手搖飲料專賣店,3.9,90,冰品飲料店,新北市新店區北新路三段62號,24.9802729,121.5421777
清心福全,清心福全中和南工店-珍珠奶茶手搖飲料專賣店,3.0,121,無酒精飲料店,新北市中和區中和路198號,24.9996831,121.5053344
清心福全,清心福全中正泉州店-珍珠奶茶手搖飲料專賣店,3.9,103,無酒精飲料店,台北市中正區泉州街14號,25.0272508,121.5143601
清心福全,清心福全 信義忠孝東,3.8,124,冰品飲料店,台北市信義區忠孝東路五段743巷5號一樓,25.043455,121.5810282
清心福全,清心福全板橋（漢生東路）中正店-珍珠奶茶手搖飲料專賣店,4.0,206,冰品飲料店,新北市板橋區漢生東路179號,25.012007,121.469633
清心福全,清心福全北投自強店-珍珠奶茶手搖飲料專賣店,4.5,58,珍珠奶茶,台北市北投區自強街115號,25.1109429,121.5155346
清心福全,清心福全中原店-珍珠奶茶手搖飲料專賣店,3.4,160,冰品飲料店,新北市新莊區中原路337號,25.054291,121.4454664
清心福全,清心福全新店碧潭店-珍珠奶茶手搖飲料專賣店,3.2,198,珍珠奶茶,新北市新店區北新路一段67號,24.960115,121.5382019
清心福全,清心福全大安店-珍珠奶茶手搖飲料專賣店,4.2,156,冰品飲料店,台北市大安區大安路一段229號1樓,25.0344367,121.5461059
清心福全,清心福全淡水真理店-珍珠奶茶手搖飲料專賣店,3.4,60,冰品飲料店,新北市淡水區新民街138號,25.1779038,121.4375719
清心福全,清心福全三重光明店-珍珠奶茶手搖飲專賣店,4.0,145,珍珠奶茶,新北市三重區光明路67-1號,25.0574059,121.4916414
清心福全,清心福全中山林森北店,4.3,95,冰品飲料店,台北市中山區長安東路一段53巷19號1樓,25.0501119,121.5268261
清心福全,清心福全土城員福店-珍珠奶茶手搖飲料專賣店,3.2,172,無酒精飲料店,新北市土城區學府路二段18號,24.9819514,121.4490659
清心福全,清心福全 板橋四維店,4.0,109,冰品飲料店,新北市板橋區四維路157號,25.0256597,121.4647896
清心福全,清心福全萬華寶興店-珍珠奶茶手搖飲料專賣店,3.5,79,無酒精飲料店,台北市萬華區寶興街94號1樓,25.0258429,121.4943126
清心福全,清心福全蘆洲復興店-珍珠奶茶手搖飲料專賣店,4.5,220,冰品飲料店,新北市蘆洲區復興路114號,25.0872251,121.476327
清心福全,清心福全汐止大同店,3.5,37,珍珠奶茶,新北市汐止區大同路二段342號1樓,25.0669725,121.6566215
清心福全,清心福全樹林育英店-珍珠奶茶手搖飲料專賣店,4.0,100,無酒精飲料店,新北市樹林區育英街42號,24.9892522,121.4216189
清心福全,清心福全冷飲站中和自立店,2.7,118,冰品飲料店,新北市中和區自立路187號,24.9913939,121.5239644
清心福全,清心福全永和竹林店-珍珠奶茶-手搖飲料-台灣茶,3.5,165,冰品飲料店,新北市永和區竹林路38號,25.0143728,121.5174391
清心福全,清心福全北投中和店 珍珠奶茶手搖飲專賣店,3.2,90,珍珠奶茶,台北市北投區中和街331號,25.1409172,121.4997178
清心福全,清心福全廣明店-珍珠奶茶手搖飲料專賣店,4.0,107,無酒精飲料店,新北市板橋區四川路二段47巷2弄1號,24.9947541,121.4541089
清心福全,清心福全新店五峰店-珍珠奶茶手搖店飲料專賣店,2.1,41,冰品飲料店,新北市新店區中正路11號1樓,24.9693503,121.5454174
清心福全,清心福全北投致遠店-珍珠奶茶手搖飲料專賣店,4.1,133,珍珠奶茶,台北市北投區尊賢街211號,25.1154066,121.5079717
清心福全,清心福全萬隆店-珍珠奶茶手搖飲料專賣店,3.0,177,珍珠奶茶,台北市文山區羅斯福路五段190號,25.0038687,121.5384798
清心福全,清心福全 雙城店 珍珠奶茶手搖飲料專賣店,3.6,110,珍珠奶茶,台北市中山區雙城街13巷26號,25.0640418,121.5253388
清心福全,清心福全成功店-珍珠奶茶手搖飲料專賣店,3.5,145,冰品飲料店,台北市大安區復興南路二段151巷49號,25.0283799,121.5457522
清心福全,清心福全新莊幸福店-珍珠奶茶手搖飲料專賣店,3.2,61,冰品飲料店,新北市新莊區幸福路786號號1樓,25.0492228,121.4467652
清心福全,清心福全中正信陽店 珍珠奶茶手搖飲料專賣店,3.0,173,珍珠奶茶,台北市中正區信陽街6之1號,25.0445796,121.5163278
清心福全,清心福全新莊化成店-珍珠奶茶手搖飲料專賣店,4.1,101,冰品飲料店,"號之3, No. 488號之3化成路新莊區新北市24252",25.0517897,121.4663945
清心福全,清心福全和平東店-珍珠奶茶手搖飲料專賣店,3.5,137,無酒精飲料店,台北市大安區和平東路三段294號,25.020718,121.556174
清心福全,清心福全中和景新店,5.0,4,無酒精飲料店,新北市中和區景新街382號,24.9898841,121.5123513
清心福全,清心福全安民店-珍珠奶茶手搖飲料專賣店,3.2,36,珍珠奶茶,新北市新店區安民街189-6號,24.9710719,121.5169127
清心福全,清心福全峨眉店-珍珠奶茶手搖飲專賣店,2.3,72,珍珠奶茶,台北市萬華區峨眉街49號,25.043643,121.506818
清心福全,清心福全仁愛店-珍珠奶茶手搖飲料專賣店,3.5,85,珍珠奶茶,新北市林口區仁愛路二段15號,25.0761108,121.3858401
清心福全,清心福全安康店-珍珠奶茶手搖飲料專賣店,3.1,94,無酒精飲料店,新北市新店區安康路二段146號之一,24.9615574,121.5122943
清心福全,清心福全永和永福店-珍珠奶茶手搖飲料專賣店,3.7,114,冰品飲料店,新北市永和區福和路124號 號,25.0080419,121.5220644
清心福全,清心福全木新店-珍珠奶茶手搖飲料專賣店,4.1,167,無酒精飲料店,台北市文山區木新路三段143號,24.9817803,121.5615574
清心福全,清心福全淡水大忠店-珍珠奶茶手搖飲料專賣店,3.4,129,冰品飲料店,新北市淡水區中山北路二段177號,25.184703,121.4441096
清心福全,清心福全港墘店,3.0,245,無酒精飲料店,台北市內湖區內湖路一段737巷56號,25.0807176,121.5790163
