brand,name,star,comment,class,address,latitude,longitude
珍煮丹,珍煮丹 台北濟南店,4.3,197,冰品飲料店,台北市中正區濟南路二段60之1號1樓,25.0401612,121.5319473
珍煮丹,珍煮丹 南港園區店,3.8,106,冰品飲料店,台北市南港區新民街58號,25.0559593,121.6117307
珍煮丹,珍煮丹府中店,3.5,191,冰品飲料店,新北市板橋區中山路一段29號,25.008869,121.4604822
珍煮丹,珍煮丹 士林大北店,4.0,880,冰品飲料店,台北市士林區大北路54號,25.090084,121.525658
珍煮丹,珍煮丹 台北南京店,3.8,154,冰品飲料店,台北市松山區南京東路四段108號,25.0514395,121.5545223
珍煮丹,珍煮丹 中正南門店,3.4,364,冰品飲料店,台北市中正區羅斯福路一段12號,25.0319543,121.5185911
珍煮丹,珍煮丹 新店大坪林店,3.7,95,冰品飲料店,新北市新店區北新路三段85號,24.981601,121.541447
珍煮丹,珍煮丹 信義市府店,4.1,1,珍珠奶茶,台北市信義區忠孝東路五段17-1號,25.0414512,121.5656269
珍煮丹,珍煮丹 台北合江店,4.0,197,冰品飲料店,台北市中山區合江街152-1號,25.060014,121.5391088
珍煮丹,珍煮丹 內湖園區店,4.5,272,冰品飲料店,台北市內湖區內湖路一段411巷8號1樓,25.0820921,121.5710158
珍煮丹,珍煮丹 內湖江南店,3.8,701,冰品飲料店,台北市內湖區江南街108號,25.0767932,121.5766132
珍煮丹,珍煮丹 台北遼寧店,3.7,340,冰品飲料店,台北市中山區遼寧街27號 1樓,25.0479439,121.542335
珍煮丹,珍煮丹 台北延平南店,4.4,103,冰品飲料店,台北市中正區延平南路238號,25.0337731,121.5073047
珍煮丹,珍煮丹 三峽北大店,3.9,221,冰品飲料店,新北市三峽區大學路145號,24.9439864,121.3741868
珍煮丹,珍煮丹 林口文化店,4.4,416,冰品飲料店,新北市林口區文化二路一段62號1號樓之1,25.0683047,121.3653913
珍煮丹,珍煮丹 文山木新店,3.5,271,冰品飲料店,台北市文山區木新路三段160號,24.9819693,121.5610978
珍煮丹,珍煮丹-台北北醫店(信義區飲料店),4.2,265,冰品飲料店,台北市信義區莊敬路318號,25.028119,121.563306
珍煮丹,珍煮丹 大安復興店,4.0,529,冰品飲料店,台北市大安區信義路三段200號,25.0330886,121.5432814
珍煮丹,珍煮丹 新莊輔大店,4.2,189,冰品飲料店,新北市新莊區中正路516-34號,25.032312,121.432682
珍煮丹,珍煮丹 淡水英專店,4.8,229,冰品飲料店,新北市淡水區英專路77號,25.1714126,121.4456476
珍煮丹,珍煮丹土城中央店,3.1,86,珍珠奶茶,新北市土城區中央路三段72-1號,24.9674535,121.4364176
珍煮丹,珍煮丹 樹林站前店,3.4,86,冰品飲料店,新北市樹林區博愛一街36號,24.9908646,121.4257883
珍煮丹,珍煮丹 汐止中興店,3.6,107,冰品飲料店,新北市汐止區中興路204號,25.0661839,121.6314189
珍煮丹,珍煮丹 土城海山店,3.1,91,珍珠奶茶,新北市土城區裕民路85號1樓,24.9873527,121.4501846
珍煮丹,珍煮丹 中和連城店,3.4,291,冰品飲料店,新北市中和區連城路17號,25.0021161,121.4989568
珍煮丹,珍煮丹蘆洲光華店,3.4,289,冰品飲料店,新北市蘆洲區光華路89號,25.082514,121.467577
珍煮丹,珍煮丹 板橋民治店,4.1,141,珍珠奶茶,新北市板橋區民治街131號,25.0308292,121.4778922
