name,class,address,latitude,longitude
五堵車站,火車站,新北市汐止區,25.0779696,121.667524
汐止車站,火車站,新北市汐止區信義路1號,25.06792,121.661165
汐科火車站,火車站,新北市汐止區,25.0626442,121.6466431
板橋車站,火車站,新北市板橋區縣民大道二段7號,25.01405,121.46381
浮洲站,火車站,新北市板橋區僑中二街156號,25.004192,121.444737
樹林車站,火車站,新北市樹林區鎮前街112號,24.9913972,121.4244296
南樹林火車站,火車站,新北市樹林區中山路二段,24.9804725,121.408831
山佳火車站,火車站,新北市樹林區中山路三段108號,24.9727283,121.3925439
鶯歌火車站,火車站,新北市鶯歌區文化路68-1號,24.9545594,121.3551137
福隆車站,火車站,新北市貢寮區福隆街2號,25.0159203,121.9446682
貢寮車站,火車站,新北市貢寮區,25.0220491,121.9086807
雙溪車站,火車站,新北市雙溪區朝陽街1號,25.038561,121.866504
牡丹車站,火車站,新北市雙溪區227 牡丹 里 牡丹 路 159 號,25.0587689,121.851929
三貂嶺車站,火車站,新北市瑞芳區,25.0655471,121.8226306
大華車站,火車站,新北市平溪區226 六 分 12 號 旁,25.049913,121.797543
十分車站,火車站,新北市平溪區226,25.0409838,121.7749723
望古火車站,火車站,新北市平溪區,25.0346149,121.7638065
嶺腳車站,火車站,新北市平溪區,25.0301,121.7481
平溪車站,火車站,新北市平溪區中華街12號,25.02565,121.74
菁桐,火車站,新北市平溪區菁桐街52號,25.0238825,121.7239205
猴硐車站,火車站,新北市瑞芳區柴寮路70號,25.087009,121.827423
瑞芳車站,火車站,新北市瑞芳區明燈路三段82號,25.1087356,121.8059692
八斗子,火車站,新北市瑞芳區,25.1352871,121.8028626
四腳亭車站,公共交通交匯處,新北市瑞芳區中央路65號,25.1027955,121.7619144
南港火車站,火車站,台北市南港區南港路一段313號,25.0530895,121.6069541
松山,火車站,台北市松山區松山路11號,25.049284,121.5782834
台北,火車站,台北市中正區北平西路3號100臺灣,25.0480075,121.5170613
萬華,火車站,台北市萬華區,25.0332247,121.5002434
