name,latitude,longitude
捷運科技大樓站,25.02605,121.5436
復興南路二段273號前,25.02565,121.54357
國北教大實小東側門,25.02429,121.54124
和平公園東側,25.02351,121.54282
辛亥復興路口西北側,25.02153,121.54299
復興南路二段280號前,25.02429,121.54328
復興南路二段340巷口,25.02253,121.54326
新生南路三段52號前,25.02112,121.53407
新生南路三段66號前,25.01976,121.53384
新生南路三段82號前,25.01894,121.53361
辛亥路一段30號前,25.01986,121.52982
和平復興路口西北側,25.02543,121.54332
羅斯福路三段311號前,25.01717,121.53202
大安運動中心停車場,25.020348,121.546446
羅斯福路三段245號前,25.01927,121.52989
溫州公園,25.01895,121.53156
和平臥龍街口,25.024461,121.546705
溫州停車場,25.02093,121.5331
銘傳國小側門,25.01385,121.53549
捷運公館站(2號出口),25.01491,121.53438
臺灣科技大學正門,25.01451,121.54142
臺灣科技大學側門,25.01295,121.53973
公館公園,25.01137,121.54062
臺灣科技大學後門,25.01182,121.54165
臺大醫學院附設癌醫中心,25.01426,121.54382
臺大環研大樓,25.01234,121.54503
臺大永齡生醫工程館,25.0136,121.54656
臺大男七舍前,25.01537,121.54698
臺大男一舍前,25.01637,121.54535
臺大男六舍前,25.01664,121.5452
臺大動物醫院前,25.01576,121.54291
臺大土木研究大樓前,25.01787,121.5476
臺大萬才館前,25.02032,121.54497
臺大國青大樓宿舍前,25.02076,121.54432
臺大社科院圖書館前,25.02101,121.54284
臺大法人語言訓練中心前,25.02104,121.54081
臺大綜合體育館停車場前,25.0222,121.53626
辛亥新生路口東南側,25.02218,121.53474
基隆長興路口東側,25.01727,121.54471
國北教大側門南側,25.022864,121.546622
和平實小東北側,25.021641,121.54704
大安區健康服務中心,25.021469,121.544069
辛亥泰順街口,25.02193,121.53165
芳和國中,25.0189,121.55013
臥龍樂業街口,25.01856,121.55558
臥龍公園,25.01623,121.55037
嘉興公園,25.021,121.55211
捷運麟光站(2號出口),25.0181,121.55929
捷運六張犁站,25.02397,121.55266
喬治工商,25.02705,121.55551
法治公園,25.02694,121.55325
捷運臺電大樓站(2號出口),25.02021,121.52942
和平金山路口,25.02669,121.52529
和平龍泉街口,25.02638,121.52971
和平泰順街口,25.02621,121.53171
臺灣師範大學(圖書館),25.0266,121.52973
捷運古亭站(6號出口),25.0276,121.52217
捷運古亭站(5號出口),25.02715,121.52293
臺北市立圖書館(總館),25.02895,121.5379
新生和平路口東北側,25.02657,121.53515
建國和平路口西北側,25.02606,121.53738
金華公園,25.02984,121.53107
捷運東門站(3號出口),25.03383,121.52815
金甌女中,25.03519,121.5245
金杭公園,25.03325,121.52436
愛國金山路口,25.03164,121.52661
敦化南路二段293巷口南側,25.0237,121.54899
敦化基隆路口,25.02215,121.54839
安和路二段181巷口,25.02721,121.54988
臨江街夜市(通化街101巷口),25.02952,121.55406
臨江街夜市(基隆路),25.02931,121.55721
台北科技大學億光大樓,25.04177,121.53833
新生南路一段119巷口,25.04003,121.53299
幸安國小(仁愛路),25.03753,121.53523
民榮公園,25.03534,121.5354
復興南路1段340巷口,25.03701,121.54348
建國濟南路口,25.03935,121.53828
捷運忠孝復興站(2號出口),25.04035,121.5436
捷運大安站(4號出口),25.0332,121.5439
捷運大安站(2號出口),25.03358,121.54141
信義大安路口(信維大樓),25.03317,121.54639
龍門廣場,25.04092,121.54825
仁愛安和路口,25.03754,121.55285
信義敦化路口,25.03333,121.54977
仁愛國中,25.03706,121.55166
捷運信義安和站(2號出口),25.03304,121.55171
八德市場,25.04463,121.53665
昌隆公園,25.04448,121.53946
捷運大安森林公園站(2號出口),25.03332,121.53435
信義延吉街口,25.03318,121.55725
光信公園(光復南路456巷),25.03513,121.5561
僑安地下停車場(2號出口)東南側,25.0391,121.5569
建國南路一段279巷口,25.03635,121.53833
捷運忠孝新生站(6號出口),25.04091,121.53295
捷運忠孝新生站(4號出口),25.04239,121.53324
大安高工,25.03126,121.54339
捷運忠孝新生站(3號出口),25.04189,121.53376
?公公園,25.04201,121.54612
敦化市民路口,25.04405,121.5486
捷運大安森林公園站(5號出口),25.03336,121.5364
信義建國路口,25.0328,121.53746
東豐公園,25.03569,121.5451
德安公園(四維路66巷),25.03473,121.54767
捷運忠孝復興站(5號出口),25.04262,121.54443
捷運忠孝敦化站(2號出口),25.04153,121.5524
捷運忠孝敦化站(7號出口),25.04159,121.54937
瑞安街208巷,25.02979,121.54053
樂利路21巷口,25.0277,121.55132
捷運科技大樓站(台北教育大學),25.02469,121.54459
捷運國父紀念館站(2號出口),25.04122,121.55745
仁愛醫院,25.03756,121.54587
捷運信義安和站(4號出口),25.03305,121.55378
成功國宅,25.02681,121.54668
仁愛延吉街口,25.03748,121.55564
捷運信義安和站(1號出口),25.03331,121.55265
敦化南路二段103巷口,25.0287,121.54904
復興南路二段128巷口,25.02861,121.54336
和平東建國南路口,25.02575,121.5377
芳蘭山莊,25.01223,121.54788
復興南路一段126巷口,25.04311,121.54313
捷運東門站(5號出口),25.03363,121.52962
仁愛路四段48巷口,25.03609,121.54709
捷運公館站(3號出口),25.01551,121.53374
臺北科技大學(電機工程系),25.04196,121.53653
忠孝東路三段217巷口,25.04176,121.54027
新生南路三段94巷口,25.01744,121.53334
辛亥新生路口西北側,25.02267,121.5341
捷運大安站(6號出口),25.03479,121.54376
臥龍街195巷口,25.01783,121.55224
辛亥路三段157巷口,25.01727,121.54904
臥龍基隆路口,25.02039,121.54853
敦親公園,25.02347,121.54108
大安運動中心,25.02054,121.54561
和平敦化路口,25.02444,121.54908
基隆長興路口,25.01705,121.54435
仁愛路四段122巷口,25.03762,121.55009
市民敦化路口,25.04464,121.54944
忠孝東路四段49巷口,25.04172,121.54541
市民復興路口(東南側),25.04472,121.54401
和平新生路口西南側,25.02598,121.53454
全安公園,25.02535,121.55101
信義路三段134巷口,25.03333,121.53968
仁愛敦南圓環(東南側),25.03715,121.54936
臺北遠企購物中心,25.02709,121.54902
外交部外交及國際事務學院,25.0371,121.54839
四維路170巷口,25.02821,121.54864
捷運大安站(3號出口),25.03328,121.5425
捷運臺電大樓站(2號出口),25.02055,121.52855
信義路四段199巷,25.03459,121.55164
臺大資訊大樓,25.02101,121.54153
敦化南路二段81巷,25.03002,121.54893
原臺北刑務所官舍,25.03054,121.52466
捷運國父紀念館站(1號出口),25.04205,121.55657
懷生國中,25.0401,121.54122
仁愛敦南圓環(西北側),25.03827,121.54802
立人國小,25.02974,121.55146
和平東路二段18巷口,25.02268,121.53608
捷運大安站(5號出口),25.03303,121.54372
臨江公園,25.02832,121.55592
羅斯福路四段113巷19弄口,25.01027,121.53998
忠孝東路四段248巷口,25.04132,121.55393
仁愛延吉路口(西北側),25.03795,121.55466
樂利路101巷口,25.02528,121.55224
羅斯福浦城街口,25.02208,121.52678
敦化南路一段295巷口,25.03551,121.54951
通安區民活動中心,25.02942,121.55294
仁愛大安路口(東北側),25.03813,121.54631
延平國宅,25.07894,121.51121
臺北市立圖書館大同分館,25.0741,121.51349
合昌宮,25.07717,121.50934
民族延平路口,25.06864,121.5107
重慶酒泉街口,25.07158,121.51368
樹德公園,25.06647,121.5165
陳天來故居,25.05601,121.50895
臺北孔廟,25.07378,121.51583
捷運圓山站(1號出口),25.07133,121.52024
酒泉延平路口,25.0722,121.51057
重慶國中,25.07567,121.51862
重慶北路三段383巷口,25.07598,121.51409
台北數位產業園區,25.07447,121.52003
民權延平路口(西北側),25.06326,121.51099
民權迪化街口,25.06327,121.50943
大稻埕公園,25.05915,121.51033
大龍老人住宅,25.06853,121.51729
大龍峒社會住宅,25.0708,121.51826
捷運大橋頭站(2號出口),25.06314,121.51308
捷運大橋頭站(1A出口),25.06325,121.51162
捷運民權西路站(2號出口),25.06174,121.51969
捷運雙連站(2號出口),25.05826,121.52063
捷運北門站(3號出口),25.04991,121.5104
朝陽公園,25.05592,121.51367
永樂市場,25.05454,121.51052
大龍公園,25.07049,121.51596
重慶涼州街口,25.06054,121.51338
圓山線形公園,25.06867,121.51993
圓環站,25.05369,121.51418
重慶民族路口,25.06853,121.51359
承德路三段8巷口,25.06407,121.51822
太原廣場,25.04925,121.51468
國順公園,25.06594,121.51078
聯合醫院中興院區,25.05205,121.50818
蔣渭水紀念公園,25.06011,121.51729
迪化休閒運動公園,25.07491,121.5115
大同運動中心,25.06496,121.51608
重慶保安街口(家樂福重慶店),25.05918,121.51373
大稻埕碼頭,25.05662,121.50783
歸綏戲曲公園,25.05805,121.51353
民權國中(民權西路),25.06322,121.5144
承德民權路口,25.06247,121.51839
南京太原路口,25.05366,121.51638
承德民生西路口,25.05756,121.51828
太原五原路口,25.05646,121.51698
臺北轉運站(華陰街),25.04937,121.51914
捷運民權西路站(3號出口),25.06129,121.52021
捷運中山站(5號出口),25.05296,121.51938
重慶長安路口,25.0515,121.51398
承德昌吉街口,25.06587,121.51847
大同16號廣場,25.05658,121.50826
捷運圓山站(2號出口),25.07182,121.51929
樹德公園,25.06669,121.51615
承德鄭州路口(市民高架下),25.04879,121.51626
成淵高中,25.06036,121.51996
雙蓮國小,25.06157,121.51683
寧夏涼州街口,25.06095,121.51428
延平涼州街口,25.06092,121.51126
劍潭抽水站,25.08128,121.51784
通河東街大南路口,25.08914,121.51542
福港街停車場,25.08695,121.51901
百齡國小,25.08521,121.51918
雨聲街165巷口,25.10277,121.53357
天和公園,25.12001,121.53342
中山天母路口,25.11856,121.52964
天母運動公園,25.11633,121.53414
臺北市立大學(天母校區),25.11356,121.53718
忠誠路二段53巷,25.11127,121.53244
天母棒球場,25.11341,121.53195
天母北天玉街口,25.12011,121.52652
蘭興公園,25.11184,121.52589
明勝公園,25.08009,121.51895
劍潭海外青年活動中心,25.07994,121.52426
忠誠路一段173巷口,25.10813,121.5304
雨農國小,25.10543,121.529309
忠誠公園,25.10399,121.52593
芝山抽水站,25.10155,121.52832
至誠路一段305巷口,25.10186,121.53083
華齡公園,25.08302,121.52069
前港公園(福德宮),25.08671,121.52096
華齡街185巷口,25.08828,121.51985
前港公園(前港街),25.0848,121.52125
百齡高中,25.08736,121.52272
捷運芝山站(2號出口),25.10364,121.52219
臺灣戲曲中心,25.10208,121.51979
捷運劍潭站(2號出口),25.08288,121.52455
劍潭基河路口,25.08403,121.5249
志成公園,25.09667,121.53206
福林國小,25.09896,121.53025
中山中正路口,25.09651,121.52753
